country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website,day_num
United States,USA,12/20/2020,556208,556208,,57909,,0.17,0.17,,,Johnson&Johnson: Moderna:Pfizer/BioNTech,Centers for Disease Control and Prevention,http://www.xinhuanet.com/english/asiapacific/2021-03/16/c_139814668.htm,0
United States,USA,12/21/2020,614117,614117,,57909,57909,0.18,0.18,,173,Johnson&Johnson: Moderna:Pfizer/BioNTech,Centers for Disease Control and Prevention,http://www.xinhuanet.com/english/asiapacific/2021-03/16/c_139814668.htm,1
United States,USA,12/22/2020,614117,614117,,57909,127432,,,,381,Johnson&Johnson: Moderna:Pfizer/BioNTech,Centers for Disease Control and Prevention,http://www.xinhuanet.com/english/asiapacific/2021-03/16/c_139814668.htm,2
United States,USA,12/23/2020,1008025,1008025,,57909,150606,0.3,0.3,,450,Johnson&Johnson: Moderna:Pfizer/BioNTech,Centers for Disease Control and Prevention,http://www.xinhuanet.com/english/asiapacific/2021-03/16/c_139814668.htm,3
United States,USA,12/24/2020,1008025,1008025,,57909,191001,,,,571,Johnson&Johnson: Moderna:Pfizer/BioNTech,Centers for Disease Control and Prevention,http://www.xinhuanet.com/english/asiapacific/2021-03/16/c_139814668.htm,4
United States,USA,12/25/2020,1008025,1008025,,57909,215238,,,,644,Johnson&Johnson: Moderna:Pfizer/BioNTech,Centers for Disease Control and Prevention,http://www.xinhuanet.com/english/asiapacific/2021-03/16/c_139814668.htm,5
United States,USA,12/26/2020,1944585,1944585,,57909,231396,0.58,0.58,,692,Johnson&Johnson: Moderna:Pfizer/BioNTech,Centers for Disease Control and Prevention,http://www.xinhuanet.com/english/asiapacific/2021-03/16/c_139814668.htm,6
United States,USA,12/27/2020,1944585,1944585,,57909,211379,,,,632,Johnson&Johnson: Moderna:Pfizer/BioNTech,Centers for Disease Control and Prevention,http://www.xinhuanet.com/english/asiapacific/2021-03/16/c_139814668.htm,7
United States,USA,12/28/2020,2127143,2127143,,57909,216147,0.64,0.64,,646,Johnson&Johnson: Moderna:Pfizer/BioNTech,Centers for Disease Control and Prevention,http://www.xinhuanet.com/english/asiapacific/2021-03/16/c_139814668.htm,8
United States,USA,12/29/2020,2127143,2127143,,57909,235685,,,,705,Johnson&Johnson: Moderna:Pfizer/BioNTech,Centers for Disease Control and Prevention,http://www.xinhuanet.com/english/asiapacific/2021-03/16/c_139814668.htm,9
United States,USA,12/30/2020,2794588,2794588,,57909,255223,0.84,0.84,,763,Johnson&Johnson: Moderna:Pfizer/BioNTech,Centers for Disease Control and Prevention,http://www.xinhuanet.com/english/asiapacific/2021-03/16/c_139814668.htm,10
United States,USA,12/31/2020,2794588,2794588,,57909,278776,,,,834,Johnson&Johnson: Moderna:Pfizer/BioNTech,Centers for Disease Control and Prevention,http://www.xinhuanet.com/english/asiapacific/2021-03/16/c_139814668.htm,11
United States,USA,1/1/2021,2794588,2794588,,57909,302329,,,,904,Johnson&Johnson: Moderna:Pfizer/BioNTech,Centers for Disease Control and Prevention,http://www.xinhuanet.com/english/asiapacific/2021-03/16/c_139814668.htm,12
United States,USA,1/2/2021,4225756,4225756,,57909,325882,1.26,1.26,,974,Johnson&Johnson: Moderna:Pfizer/BioNTech,Centers for Disease Control and Prevention,http://www.xinhuanet.com/english/asiapacific/2021-03/16/c_139814668.htm,13
United States,USA,1/3/2021,4225756,4225756,,57909,336949,,,,1007,Johnson&Johnson: Moderna:Pfizer/BioNTech,Centers for Disease Control and Prevention,http://www.xinhuanet.com/english/asiapacific/2021-03/16/c_139814668.htm,14
United States,USA,1/4/2021,4563260,4563260,,57909,348017,1.36,1.36,,1041,Johnson&Johnson: Moderna:Pfizer/BioNTech,Centers for Disease Control and Prevention,http://www.xinhuanet.com/english/asiapacific/2021-03/16/c_139814668.htm,15
United States,USA,1/5/2021,4836469,4836469,,273209,339372,1.45,1.45,,1015,Johnson&Johnson: Moderna:Pfizer/BioNTech,Centers for Disease Control and Prevention,http://www.xinhuanet.com/english/asiapacific/2021-03/16/c_139814668.htm,16
United States,USA,1/6/2021,5306797,5306797,,470328,358887,1.59,1.59,,1073,Johnson&Johnson: Moderna:Pfizer/BioNTech,Centers for Disease Control and Prevention,http://www.xinhuanet.com/english/asiapacific/2021-03/16/c_139814668.htm,17
United States,USA,1/7/2021,5919418,5919418,,612621,378253,1.77,1.77,,1131,Johnson&Johnson: Moderna:Pfizer/BioNTech,Centers for Disease Control and Prevention,http://www.xinhuanet.com/english/asiapacific/2021-03/16/c_139814668.htm,18
United States,USA,1/8/2021,6688231,6688231,,768813,419933,2,2,,1256,Johnson&Johnson: Moderna:Pfizer/BioNTech,Centers for Disease Control and Prevention,http://www.xinhuanet.com/english/asiapacific/2021-03/16/c_139814668.htm,19
United States,USA,1/9/2021,6688231,6688231,,768813,461263,,,,1379,Johnson&Johnson: Moderna:Pfizer/BioNTech,Centers for Disease Control and Prevention,http://www.xinhuanet.com/english/asiapacific/2021-03/16/c_139814668.htm,20
United States,USA,1/10/2021,6688231,6688231,,768813,546636,,,,1634,Johnson&Johnson: Moderna:Pfizer/BioNTech,Centers for Disease Control and Prevention,http://www.xinhuanet.com/english/asiapacific/2021-03/16/c_139814668.htm,21
United States,USA,1/11/2021,8987322,8987322,,768813,632009,2.69,2.69,,1890,Johnson&Johnson: Moderna:Pfizer/BioNTech,Centers for Disease Control and Prevention,http://www.xinhuanet.com/english/asiapacific/2021-03/16/c_139814668.htm,22
United States,USA,1/12/2021,9327138,9327138,,339816,641524,2.79,2.79,,1918,Johnson&Johnson: Moderna:Pfizer/BioNTech,Centers for Disease Control and Prevention,https://coronavirus.al/lajme/covid19-ministria-e-shendetesise-1827-te-vaksinuar-3070-testime-550-te-sheruar-425-raste-te-reja-dhe-12-humbje-jete-ne-24-oret-e-fundit/,23
